PK_Games,FK_Year,FK_Season,FK_City
1,1,1,4
2,2,1,27
3,3,1,37
4,4,1,4
5,5,1,18
6,6,1,38
7,7,1,3
8,8,1,27
9,8,2,10
10,9,1,2
11,9,2,31
12,10,1,19
13,10,2,16
14,11,1,8
15,11,2,12
16,12,1,18
17,12,2,31
18,13,1,14
19,13,2,26
20,14,1,20
21,14,1,38
22,14,2,11
23,15,1,29
24,15,2,36
25,16,1,40
26,16,2,15
27,17,1,21
28,17,2,13
29,18,1,24
30,18,2,32
31,19,1,22
32,19,2,15
33,20,1,23
34,20,2,16
35,21,1,19
36,21,2,33
37,22,1,34
38,22,2,9
39,23,1,6
40,23,2,1
41,24,2,17
42,25,1,5
43,26,2,25
44,27,1,39
45,28,2,30
46,29,1,4
47,30,2,41
48,31,1,7
49,32,2,42
50,33,1,18
51,34,2,35
52,35,1,28
