PK_Sport,Sport
1,aeronautics
2,alpine skiing
3,alpinism
4,archery
5,art competitions
6,athletics
7,badminton
8,baseball
9,basketball
10,basque pelota
11,beach volleyball
12,biathlon
13,bobsleigh
14,boxing
15,canoeing
16,cricket
17,croquet
18,cross country skiing
19,curling
20,cycling
21,diving
22,equestrianism
23,fencing
24,figure skating
25,football
26,freestyle skiing
27,golf
28,gymnastics
29,handball
30,hockey
31,ice hockey
32,jeu de paume
33,judo
34,lacrosse
35,luge
36,military ski patrol
37,modern pentathlon
38,motorboating
39,nordic combined
40,polo
41,racquets
42,rhythmic gymnastics
43,roque
44,rowing
45,rugby
46,rugby sevens
47,sailing
48,shooting
49,short track speed skating
50,skeleton
51,ski jumping
52,snowboarding
53,softball
54,speed skating
55,swimming
56,synchronized swimming
57,table tennis
58,taekwondo
59,tennis
60,trampolining
61,triathlon
62,tug-of-war
63,volleyball
64,water polo
65,weightlifting
66,wrestling
